,hcpcs_code,srvc_cnt,year
0,43249,942.0,2017
1,43251,1071.0,2017
2,43259,2653.0,2017
3,44361,1404.0,2017
4,44365,151.0,2017
5,43249,984.0,2016
6,43251,1393.0,2016
7,43259,2958.0,2016
8,44361,1747.0,2016
9,44365,147.0,2016
10,43249,604.0,2015
11,43251,1399.0,2015
12,43259,2933.0,2015
13,44361,1728.0,2015
14,44365,90.0,2015
