,hcpcs_code,srvc_cnt_17,srvc_cnt_15,15/17_srvc_chng
2946,99232,39510956.0,42050908.0,2539952.0
2945,99231,5250182.0,6036295.0,786113.0
2056,71020,7270772.0,7900631.0,629859.0
2054,71010,14378326.0,14890614.0,512288.0
2941,99223,8601304.0,9067946.0,466642.0
