,hcpcs_code,srvc_cnt_17,srvc_cnt_15,15/17_srvc_chng
949,A0428,3719644.0,3918812.0,199168.0
977,G0471,2325314.0,2202687.0,122627.0
836,85610,30861.0,144353.0,113492.0
948,A0427,4902347.0,4821553.0,80794.0
648,71010,138731.0,206777.0,68046.0
