,hcpcs_code,srvc_cnt,year
0,43237,91.0,2017
1,43238,114.0,2017
2,43244,79.0,2017
3,43246,300.0,2017
4,43249,754.0,2017
5,43237,92.0,2016
6,43238,98.0,2016
7,43244,118.0,2016
8,43246,335.0,2016
9,43249,751.0,2016
10,43237,56.0,2015
11,43238,83.0,2015
12,43244,106.0,2015
13,43246,459.0,2015
14,43249,738.0,2015
