,hcpcs_code,srvc_cnt_16,srvc_cnt_15,15/16_srvc_chng
2947,99233,19225307.0,18642832.0,582475.0
2654,93010,15536949.0,15080844.0,456105.0
2100,72170,412229.0,781805.0,369576.0
2957,99285,10852400.0,10548413.0,303987.0
2946,99232,42320734.0,42050908.0,269826.0
