,hcpcs_code,srvc_cnt_17,srvc_cnt_16,16/17_srvc_chng
2635,99213,80090935.0,84022707.0,3931772.0
527,36415,23146574.0,24284323.0,1137749.0
2591,97110,23652095.0,24715274.0,1063179.0
2634,99212,9030002.0,10010413.0,980411.0
2636,99214,82722714.0,83666390.0,943676.0
