,hcpcs_code,srvc_cnt,year
0,43232,11.0,2017
1,43259,2653.0,2017
2,43270,326.0,2017
3,44365,151.0,2017
4,44378,32.0,2017
5,43232,13.0,2016
6,43259,2958.0,2016
7,43270,371.0,2016
8,44365,147.0,2016
9,44378,15.0,2016
10,43232,35.0,2015
11,43259,2933.0,2015
12,43270,257.0,2015
13,44365,90.0,2015
14,44378,29.0,2015
